School Expenditure/Student,Teacher-Student Ratio,Test Score Percentile,Mean Parent Income,HS Dropout Rate,Teenage Birth Rates
7.694,18.9,-6.882,112400,-0.002,0.111
5.897,18.2,-1.607,70000,0.016,0.147
5.897,18.2,-1.607,46100,0.016,0.263
5.897,18.2,-1.607,35200,0.016,0.273
5.897,18.2,-1.607,41600,0.016,0.226
5.897,18.2,-1.607,39100,0.016,0.212
5.897,18.2,-1.607,44000,0.016,0.203
5.353,19.9,-0.763,53000,0.032,0.291
5.353,19.9,-0.763,69800,0.032,0.139
5.353,19.9,-0.763,68900,0.032,0.197
5.353,19.9,-0.763,66000,0.032,0.178
5.353,19.9,-0.763,92000,0.032,0.137
5.353,19.9,-0.763,64300,0.032,0.179
5.353,19.9,-0.763,56100,0.032,0.226
5.882,18.4,4.031,57400,-0.024,0.177
5.882,18.4,4.031,40500,-0.024,0.261
5.882,18.4,4.031,45800,-0.024,0.221
5.628,18,9.036,67400,-0.015,0.137
5.628,18,9.036,89700,-0.015,0.151
6.895,21.3,-6.999,86000,0.006,0.126
6.895,21.3,-6.999,72200,0.006,0.144
6.895,21.3,-6.999,78400,0.006,0.121
6.107,17.7,2.693,44800,-0.008,0.225
6.107,17.7,2.693,36900,-0.008,0.269
6.107,17.7,2.693,40000,-0.008,0.2
6.107,17.7,2.693,46700,-0.008,0.208
6.107,17.7,2.693,44200,-0.008,0.205
6.107,17.7,2.693,78000,-0.008,0.132
6.107,17.7,2.693,,-0.008,
6.107,17.7,2.693,47600,-0.008,0.185
6.107,17.7,2.693,41100,-0.008,0.218
6.457,18.9,-1.082,67000,0.004,0.147
6.457,18.9,-1.082,45100,0.004,0.273
6.457,18.9,-1.082,74200,0.004,0.183
6.457,18.9,-1.082,94100,0.004,0.119
5.344,17.6,1.125,51200,-0.003,0.157
5.344,17.6,1.125,53300,-0.003,0.206
6.896,18.6,-4.293,91000,0.023,0.167
6.896,18.6,-4.293,76400,0.023,0.172
5.592,18.8,-5.551,51300,-0.009,0.228
5.592,18.8,-5.551,40000,-0.009,0.267
5.592,18.8,-5.551,,-0.009,
5.592,18.8,-5.551,40800,-0.009,0.222
5.592,18.8,-5.551,43800,-0.009,0.21
5.592,18.8,-5.551,54000,-0.009,0.233
5.409,19.2,5.39,58700,-0.01,0.196
5.409,19.2,5.39,68800,-0.01,0.15
5.409,19.2,5.39,66000,-0.01,0.153
5.409,19.2,5.39,44100,-0.01,0.212
5.831,17.6,0.434,54500,-0.025,0.155
5.831,17.6,0.434,45100,-0.025,0.245
5.831,17.6,0.434,57900,-0.025,0.152
6.852,19.4,-5.311,,-0.008,
6.852,19.4,-5.311,50900,-0.008,0.251
6.852,19.4,-5.311,111400,-0.008,0.122
6.852,19.4,-5.311,50900,-0.008,0.268
6.852,19.4,-5.311,101400,-0.008,0.132
6.852,19.4,-5.311,57300,-0.008,0.187
5.569,18.4,-7.088,47200,0.025,0.287
5.569,18.4,-7.088,52800,0.025,0.217
5.569,18.4,-7.088,57500,0.025,0.225
6.228,18.3,-2.514,52500,-0.001,0.144
6.228,18.3,-2.514,73300,-0.001,0.174
6.228,18.3,-2.514,52700,-0.001,0.16
6.228,18.3,-2.514,74200,-0.001,0.149
5.695,19.9,-2.66,60800,0.004,0.189
5.695,19.9,-2.66,67200,0.004,0.171
5.695,19.9,-2.66,51200,0.004,0.164
5.695,19.9,-2.66,87200,0.004,0.113
5.695,19.9,-2.66,42600,0.004,0.237
5.256,16.3,-1.667,51200,0.027,0.265
5.256,16.3,-1.667,49500,0.027,0.205
5.256,16.3,-1.667,50600,0.027,0.309
5.256,16.3,-1.667,38400,0.027,0.285
5.256,16.3,-1.667,40000,0.027,0.222
5.256,16.3,-1.667,57700,0.027,0.23
5.256,16.3,-1.667,41400,0.027,0.264
5.256,16.3,-1.667,,0.027,
5.889,16,-2.098,38500,0.047,0.311
5.889,16,-2.098,50900,0.047,0.271
5.889,16,-2.098,47100,0.047,0.281
5.889,16,-2.098,54000,0.047,0.262
5.889,16,-2.098,49300,0.047,0.237
5.889,16,-2.098,48500,0.047,0.233
5.742,17.5,-4.581,,0.046,
5.742,17.5,-4.581,60100,0.046,0.234
5.742,17.5,-4.581,68800,0.046,0.185
5.742,17.5,-4.581,39400,0.046,0.24
5.742,17.5,-4.581,38500,0.046,0.283
5.742,17.5,-4.581,50000,0.046,0.221
5.526,16.8,-6.814,57900,0.013,0.172
5.526,16.8,-6.814,37400,0.013,0.246
5.526,16.8,-6.814,54000,0.013,0.187
5.526,16.8,-6.814,51800,0.013,0.237
5.735,16.8,-7.318,56000,0.022,0.254
5.735,16.8,-7.318,60600,0.022,0.208
5.735,16.8,-7.318,83600,0.022,0.196
5.735,16.8,-7.318,59700,0.022,0.194
5.735,16.8,-7.318,57400,0.022,0.152
5.735,16.8,-7.318,53700,0.022,0.188
5.547,16.9,-6.911,62500,0.048,0.192
5.547,16.9,-6.911,78900,0.048,0.174
5.547,16.9,-6.911,55500,0.048,0.212
5.547,16.9,-6.911,90700,0.048,0.09
5.547,16.9,-6.911,51200,0.048,0.211
5.475,15.6,-4.932,53200,0.049,0.268
5.475,15.6,-4.932,46900,0.049,0.275
5.177,16.5,-3.559,49400,0.041,0.195
5.177,16.5,-3.559,38800,0.041,0.299
5.177,16.5,-3.559,51900,0.041,0.262
5.177,16.5,-3.559,44800,0.041,0.218
5.177,16.5,-3.559,,0.041,
5.177,16.5,-3.559,,0.041,
5.177,16.5,-3.559,63900,0.041,0.214
5.177,16.5,-3.559,53800,0.041,0.227
5.177,16.5,-3.559,36200,0.041,0.241
5.704,17.3,-6.074,72400,0.048,0.213
5.704,17.3,-6.074,51900,0.048,0.205
5.704,17.3,-6.074,,0.048,
5.704,17.3,-6.074,75300,0.048,0.155
5.704,17.3,-6.074,63000,0.048,0.177
5.704,17.3,-6.074,61800,0.048,0.207
5.704,17.3,-6.074,55300,0.048,0.224
5.704,17.3,-6.074,50400,0.048,0.201
5.704,17.3,-6.074,42200,0.048,0.232
5.704,17.3,-6.074,44300,0.048,0.268
5.777,16.4,-8.216,47500,0.054,0.283
5.777,16.4,-8.216,73900,0.054,0.217
5.777,16.4,-8.216,38000,0.054,0.33
5.81,16.6,-9.082,76700,0.038,0.193
5.81,16.6,-9.082,70500,0.038,0.221
5.81,16.6,-9.082,67300,0.038,0.193
5.81,16.6,-9.082,80700,0.038,0.202
5.81,16.6,-9.082,44500,0.038,0.281
5.27,16.2,-0.486,58000,0.03,0.179
5.27,16.2,-0.486,48100,0.03,0.27
5.27,16.2,-0.486,39900,0.03,0.245
5.27,16.2,-0.486,43200,0.03,0.249
5.27,16.2,-0.486,46100,0.03,0.231
5.214,18.2,-6.018,47400,0.011,0.269
5.214,18.2,-6.018,88700,0.011,0.129
5.214,18.2,-6.018,,0.011,
5.214,18.2,-6.018,40700,0.011,0.242
5.214,18.2,-6.018,56600,0.011,0.248
5.214,18.2,-6.018,65900,0.011,0.195
5.214,18.2,-6.018,33900,0.011,0.25
5.214,18.2,-6.018,73200,0.011,0.186
5.214,18.2,-6.018,50600,0.011,0.224
4.83,17.6,-6.834,53900,0.089,0.244
4.83,17.6,-6.834,50300,0.089,0.207
4.83,17.6,-6.834,74600,0.089,0.201
4.83,17.6,-6.834,55700,0.089,0.258
4.83,17.6,-6.834,50500,0.089,0.237
4.825,18.1,-7.888,71100,0.026,0.191
4.825,18.1,-7.888,54900,0.026,0.191
4.825,18.1,-7.888,57900,0.026,0.22
4.825,18.1,-7.888,40200,0.026,0.233
4.825,18.1,-7.888,84400,0.026,0.178
4.825,18.1,-7.888,51400,0.026,0.22
4.825,18.1,-7.888,45600,0.026,0.25
6.352,18.1,-7.863,96500,0.026,0.13
6.352,18.1,-7.863,65000,0.026,0.189
6.352,18.1,-7.863,123500,0.026,0.101
6.352,18.1,-7.863,81000,0.026,0.181
6.352,18.1,-7.863,81700,0.026,0.17
6.352,18.1,-7.863,75500,0.026,0.148
6.352,18.1,-7.863,135700,0.026,0.058
6.352,18.1,-7.863,101800,0.026,0.124
6.352,18.1,-7.863,115800,0.026,0.207
6.352,18.1,-7.863,95900,0.026,0.115
6.352,18.1,-7.863,80900,0.026,0.153
6.352,18.1,-7.863,52500,0.026,0.253
6.352,18.1,-7.863,62200,0.026,0.214
6.352,18.1,-7.863,52600,0.026,0.224
6.352,18.1,-7.863,73900,0.026,0.187
6.352,18.1,-7.863,64100,0.026,0.196
6.352,18.1,-7.863,70900,0.026,0.178
6.352,18.1,-7.863,63700,0.026,0.223
5.945,15.5,-4.966,45100,0.068,0.254
5.945,15.5,-4.966,43000,0.068,0.264
5.945,15.5,-4.966,46500,0.068,0.235
5.082,16.5,,46500,0.04,0.248
5.082,16.5,,45500,0.04,0.201
5.082,16.5,,51800,0.04,0.234
5.148,15.5,0.165,46500,0.029,0.217
5.148,15.5,0.165,56800,0.029,0.228
5.148,15.5,0.165,51300,0.029,0.216
5.148,15.5,0.165,56500,0.029,0.202
5.188,17,-3.211,42900,0.022,0.246
5.188,17,-3.211,52200,0.022,0.224
5.188,17,-3.211,,0.022,
5.188,17,-3.211,45800,0.022,0.251
5.188,17,-3.211,53600,0.022,0.246
5.193,17,-3.837,48700,0.021,0.208
5.193,17,-3.837,50100,0.021,0.21
5.375,16.3,-5.13,45600,0.018,0.215
5.375,16.3,-5.13,58900,0.018,0.225
5.394,16.5,-5.032,43600,0.037,0.232
5.394,16.5,-5.032,52000,0.037,0.196
5.394,16.5,-5.032,,0.037,
5.394,16.5,-5.032,48400,0.037,0.185
6.142,16.5,-2.796,40400,0.031,0.263
6.142,16.5,-2.796,58900,0.031,0.197
6.142,16.5,-2.796,51400,0.031,0.217
5.941,17,-10.217,39600,0.073,0.261
5.941,17,-10.217,,0.073,
5.941,17,-10.217,,0.073,
