STATEFP,COUNTYFP,COUNAME,STNAME,POPULATION,LATITUDE,LONGITUDE
12,111,St. Lucie, FL,277789,27.338067,-80.353183
12,113,Santa Rosa, FL,151372,30.549593,-87.036954
12,115,Sarasota, FL,379448,27.208205,-82.423893
12,117,Seminole, FL,422718,28.697834,-81.310445
12,119,Sumter, FL,93420,28.825768,-82.035469
12,121,Suwannee, FL,41551,30.214688,-82.987546
12,123,Taylor, FL,22570,30.064881,-83.597967
12,125,Union, FL,15535,30.010768,-82.356919
12,127,Volusia, FL,494593,29.073725,-81.123944
12,129,Wakulla, FL,30776,30.185525,-84.331546
12,131,Walton, FL,55043,30.583729,-86.190665
12,133,Washington, FL,24896,30.650718,-85.625419
13,1,Appling, GA,18236,31.77388,-82.338473
13,3,Atkinson, GA,8375,31.317301,-82.886363
13,5,Bacon, GA,11096,31.547221,-82.466071
13,7,Baker, GA,3451,31.307754,-84.437989
13,9,Baldwin, GA,45720,33.084849,-83.245659
13,11,Banks, GA,18395,34.351255,-83.506647
13,13,Barrow, GA,69367,33.993054,-83.7275
13,15,Bartow, GA,100157,34.208435,-84.829122
13,17,Ben Hill, GA,17634,31.727638,-83.248636
13,19,Berrien, GA,19286,31.238588,-83.252459
13,21,Bibb, GA,155547,32.832049,-83.687184
13,23,Bleckley, GA,13063,32.401368,-83.33214
13,25,Brantley, GA,18411,31.216648,-81.96997
13,27,Brooks, GA,16243,30.842082,-83.54009
13,29,Bryan, GA,30233,31.979537,-81.375954
13,31,Bulloch, GA,70217,32.417702,-81.76242
13,33,Burke, GA,23316,33.101987,-81.998447
13,35,Butts, GA,23655,33.296102,-83.970002
13,37,Calhoun, GA,6694,31.527412,-84.668445
13,39,Camden, GA,50513,30.814165,-81.635079
13,43,Candler, GA,10998,32.399861,-82.062305
13,45,Carroll, GA,110527,33.622193,-85.044673
13,47,Catoosa, GA,63942,34.927795,-85.17282
13,49,Charlton, GA,12171,30.780002,-82.023033
13,51,Chatham, GA,265128,32.036008,-81.126449
13,53,Chattahoochee, GA,11267,32.344231,-84.899254
13,55,Chattooga, GA,26015,34.495509,-85.344167
13,57,Cherokee, GA,214346,34.169606,-84.496595
13,59,Clarke, GA,116714,33.950406,-83.380863
13,61,Clay, GA,3183,31.633549,-85.013368
13,63,Clayton, GA,259424,33.553383,-84.362238
13,65,Clinch, GA,6798,31.017888,-82.740932
13,67,Cobb, GA,688078,33.943254,-84.557878
13,69,Coffee, GA,42356,31.516,-82.840667
13,71,Colquitt, GA,45498,31.180955,-83.768671
13,73,Columbia, GA,124053,33.51622,-82.165654
13,75,Cook, GA,17212,31.149847,-83.424499
13,77,Coweta, GA,127317,33.379117,-84.736399
13,79,Crawford, GA,12630,32.707681,-83.934002
13,81,Crisp, GA,23439,31.947962,-83.777791
13,83,Dade, GA,16633,34.882709,-85.497004
13,85,Dawson, GA,22330,34.40138,-84.104119
13,87,Decatur, GA,27842,30.888345,-84.57036
13,89,DeKalb, GA,691893,33.789813,-84.248029
13,91,Dodge, GA,21796,32.212815,-83.175591
13,93,Dooly, GA,14918,32.16758,-83.784195
13,95,Dougherty, GA,94565,31.573426,-84.167625
13,97,Douglas, GA,132403,33.724923,-84.734644
13,99,Early, GA,11008,31.331726,-84.916722
13,101,Echols, GA,4034,30.708629,-83.057989
13,103,Effingham, GA,52250,32.291745,-81.299511
13,105,Elbert, GA,20166,34.126521,-82.879523
13,107,Emanuel, GA,22598,32.58586,-82.307952
13,109,Evans, GA,11000,32.169649,-81.907367
13,111,Fannin, GA,23682,34.901383,-84.313402
13,113,Fayette, GA,106567,33.427941,-84.512414
13,115,Floyd, GA,96317,34.255796,-85.183164
13,117,Forsyth, GA,175511,34.19492,-84.144322
13,119,Franklin, GA,22084,34.377335,-83.186079
13,121,Fulton, GA,920581,33.836086,-84.393645
13,123,Gilmer, GA,28292,34.677249,-84.483646
13,125,Glascock, GA,3082,33.235927,-82.609847
13,127,Glynn, GA,79626,31.202698,-81.486488
13,129,Gordon, GA,55186,34.498326,-84.908795
13,131,Grady, GA,25011,30.882764,-84.214288
13,133,Greene, GA,15994,33.549876,-83.166093
13,135,Gwinnett, GA,805321,33.951956,-84.057963
13,137,Habersham, GA,43041,34.56516,-83.541626
13,139,Hall, GA,179684,34.275205,-83.844712
13,141,Hancock, GA,9429,33.255825,-83.002047
13,143,Haralson, GA,28780,33.76192,-85.18547
13,145,Harris, GA,32024,32.699933,-84.895034
13,147,Hart, GA,25213,34.355413,-82.964953
13,149,Heard, GA,11834,33.309334,-85.1134
13,151,Henry, GA,203922,33.475842,-84.175416
13,153,Houston, GA,139900,32.571603,-83.663357
13,155,Irwin, GA,9538,31.604647,-83.280834
13,157,Jackson, GA,60485,34.132059,-83.584805
13,159,Jasper, GA,13900,33.356251,-83.724341
13,161,Jeff Davis, GA,15068,31.848776,-82.600696
13,163,Jefferson, GA,16930,33.063551,-82.407657
13,165,Jenkins, GA,8340,32.794618,-81.950133
13,167,Johnson, GA,9980,32.701199,-82.679535
13,169,Jones, GA,28669,32.962134,-83.54514
13,171,Lamar, GA,18317,33.08002,-84.1544
13,173,Lanier, GA,10078,31.035393,-83.090886
13,175,Laurens, GA,48434,32.516487,-82.926131
13,177,Lee, GA,28298,31.681194,-84.173396
13,179,Liberty, GA,63453,31.827766,-81.578482
13,181,Lincoln, GA,7996,33.781126,-82.44638
13,183,Long, GA,14464,31.778807,-81.733663
13,185,Lowndes, GA,109233,30.857006,-83.280221
13,187,Lumpkin, GA,29966,34.524951,-83.986879
13,189,McDuffie, GA,21875,33.459617,-82.469866
13,191,McIntosh, GA,14333,31.47526,-81.407579
13,193,Macon, GA,14740,32.325042,-84.038814
13,195,Madison, GA,28120,34.104614,-83.24068
13,197,Marion, GA,8742,32.380907,-84.523557
13,199,Meriwether, GA,21992,33.008863,-84.672846
13,201,Miller, GA,6125,31.159722,-84.737198
13,205,Mitchell, GA,23498,31.216853,-84.172094
13,207,Monroe, GA,26424,33.038194,-83.906823
13,209,Montgomery, GA,9123,32.167319,-82.533261
13,211,Morgan, GA,17868,33.600243,-83.485957
13,213,Murray, GA,39628,34.782329,-84.792066
13,215,Muscogee, GA,189885,32.492289,-84.930634
13,217,Newton, GA,99958,33.56952,-83.896609
13,219,Oconee, GA,32808,33.875278,-83.457946
13,221,Oglethorpe, GA,14899,33.916594,-83.14492
