county state,absolute mobility
Brazoria TX,45.4
Brazos TX,41.1
Brewster TX,48.7
Briscoe TX,
Brooks TX,46.9
Brown TX,44
Burleson TX,44.4
Burnet TX,43.2
Caldwell TX,41.1
Calhoun TX,45.8
Callahan TX,49.9
Cameron TX,43.5
Camp TX,41.7
Carson TX,58.3
Cass TX,44.8
Castro TX,45.5
Chambers TX,46.2
Cherokee TX,43.1
Childress TX,43.2
Clay TX,48.9
Cochran TX,
Coke TX,
Coleman TX,46.4
Collin TX,45.6
Collingsworth TX,
Colorado TX,47.4
Comal TX,44.1
Comanche TX,48.4
Concho TX,
Cooke TX,47.3
Coryell TX,43.1
Cottle TX,
Crane TX,
Crockett TX,
Crosby TX,43.1
Culberson TX,
Dallam TX,49.7
Dallas TX,39.1
Dawson TX,45.1
Deaf Smith TX,43.5
Delta TX,
Denton TX,44.9
De Witt TX,47.6
Dickens TX,
Dimmit TX,45.5
Donley TX,
Duval TX,51.7
Eastland TX,47.3
Ector TX,50.8
Edwards TX,
Ellis TX,42.5
El Paso TX,44.3
Erath TX,47.7
Falls TX,40.4
Fannin TX,43.2
Fayette TX,50.4
Fisher TX,
Floyd TX,43.6
Foard TX,
Fort Bend TX,43.5
Franklin TX,44.4
Freestone TX,46.2
Frio TX,45.1
Gaines NM,54.6
Galveston TX,41.6
Garza TX,
Gillespie TX,47.8
Glasscock TX,
Goliad TX,47.2
Gonzales TX,43.7
Gray TX,48.8
Grayson TX,41.3
Gregg TX,43.5
Grimes TX,41.4
Guadalupe TX,41.3
Hale TX,44.4
Hall TX,
Hamilton TX,47.7
Hansford TX,53.2
Hardeman TX,
Hardin TX,46.3
Harris TX,42.6
Harrison TX,42.4
Hartley TX,
Haskell TX,50.4
Hays TX,40.7
Hemphill TX,
Henderson TX,43.8
Hidalgo TX,44.1
Hill TX,44.2
Hockley TX,46.7
Hood TX,45.7
Hopkins TX,44.6
Houston TX,42.2
Howard TX,47.9
Hudspeth TX,
Hunt TX,40.1
Hutchinson TX,49.4
Irion TX,
Jack TX,54
Jackson TX,48.2
Jasper TX,44.7
Jeff Davis TX,
Jefferson TX,41.5
Jim Hogg TX,
Jim Wells TX,49.3
Johnson TX,46
Jones TX,47.4
Karnes TX,47.6
Kaufman TX,41.8
Kendall TX,46.7
Kenedy TX,
Kent TX,
Kerr TX,43.2
Kimble TX,
King TX,
Kinney TX,
Kleberg TX,44.7
Knox TX,
Lamar TX,39.8
Lamb TX,46.8
Lampasas TX,44.1
La Salle TX,45.7
Lavaca TX,52
Lee TX,47
Leon TX,49.5
Liberty TX,45
Limestone TX,43.7
Lipscomb TX,
Live Oak TX,48.8
Llano TX,43.4
Loving TX,
Lubbock TX,40.3
Lynn TX,43.2
McCulloch TX,48.6
McLennan TX,39
McMullen TX,
Madison TX,40.5
Marion TX,42.8
Martin TX,
Mason TX,
Matagorda TX,46.2
Maverick TX,46.5
Medina TX,44.8
Menard TX,
Midland TX,49.2
Milam TX,44.6
Mills TX,
Mitchell TX,51.4
Montague TX,50.8
Montgomery TX,44.5
Moore TX,46.4
Morris TX,42.3
Motley TX,
Nacogdoches TX,41.5
Navarro TX,41.6
Newton TX,41.3
Nolan TX,46.2
Nueces TX,42.4
Ochiltree TX,56.2
Oldham TX,
Orange TX,45.6
Palo Pinto TX,45.1
Panola TX,46.3
Parker TX,46.8
Parmer NM,47.8
Pecos TX,52.8
Polk TX,43.8
Potter TX,40.4
Presidio TX,53.5
Rains TX,46.5
Randall TX,46.5
Reagan TX,
Real TX,
Red River TX,42.6
Reeves TX,52.4
Refugio TX,47.2
Roberts TX,
Robertson TX,42
Rockwall TX,44.2
Runnels TX,46.9
Rusk TX,45.3
Sabine TX,46.9
San Augustine TX,42.7
San Jacinto TX,42.8
San Patricio TX,45
San Saba TX,
Schleicher TX,
Scurry TX,49.2
Shackelford TX,
Shelby TX,45.9
Sherman OK,
Smith TX,41.3
Somervell TX,48.5
Starr TX,47.6
Stephens TX,44.3
Sterling TX,
Stonewall TX,
Sutton TX,
Swisher TX,45.5
Tarrant TX,41
Taylor TX,43.7
Terrell TX,
Terry NM,42.1
Throckmorton TX,
Titus TX,43.3
Tom Green TX,42.9
Travis TX,38.7
Trinity TX,39.7
Tyler TX,45.3
Upshur TX,43.8
Upton TX,
Uvalde TX,43.8
Val Verde TX,47.6
Van Zandt TX,44.5
Victoria TX,43.4
Walker TX,41
Waller TX,42
Ward TX,53.4
Washington TX,41.6
Webb TX,44.7
Wharton TX,45.3
Wheeler TX,
Wichita TX,43.1
Wilbarger TX,42.7
Willacy TX,44.5
Williamson TX,43.5
Wilson TX,45
Winkler TX,54.1
Wise TX,48.3
Wood TX,46.8
Yoakum NM,54.3
Young TX,48.7
Zapata TX,47.8
Zavala TX,44.7
Beaver UT,52.1
Box Elder UT,48.4
Cache UT,50.3
Carbon UT,49.4
Daggett WY,
Davis UT,47.9
Duchesne UT,59
Emery UT,50.5
Garfield UT,51.9
Grand UT,46.1
Iron UT,46
Juab UT,51
Kane UT,47.4
Millard UT,51.1
Morgan UT,52.8
Piute UT,
Rich WY,
Salt Lake UT,45.7
San Juan UT,44.7
Sanpete UT,50.2
Sevier UT,49.8
Summit UT,55.6
Tooele UT,47.7
Uintah UT,54.5
Utah UT,49.1
Wasatch UT,52.7
Washington UT,45.8
Wayne UT,
Weber UT,44.4
Addison VT,44.3
Bennington VT,42.6
Caledonia VT,43.8
Chittenden VT,42.7
Essex VT,46.5
Franklin VT,44
Grand Isle VT,
Lamoille VT,44.5
Orange VT,45.2
Orleans VT,44.7
Rutland VT,44.5
Washington VT,45.6
Windham NH,44.3
Windsor VT,44.8
Accomack VA,38.9
Albemarle VA,41.7
Amelia VA,41
Amherst VA,42.2
Appomattox VA,37.1
Arlington DC,47.9
Augusta VA,42.9
Bath VA,
Bedford VA,42.1
Bedford VA,42.1
Bland VA,46
Botetourt VA,45.1
Brunswick VA,36.8
Buchanan VA,49.3
Buckingham VA,36.9
Campbell VA,40
Caroline VA,38.4
Carroll VA,40.1
Charles City VA,
Charlotte VA,41.2
Chesterfield VA,41.8
Clarke VA,45.4
Craig VA,
Culpeper VA,39.7
Cumberland VA,
Dickenson VA,49.8
Dinwiddie VA,37.5
Essex VA,41.2
Fairfax DC,51.2
Fauquier DC,42
Floyd VA,43
Fluvanna VA,40.1
Franklin VA,41.6
Franklin VA,41.6
Frederick VA,42.6
Giles VA,39.5
Gloucester VA,41.6
Goochland VA,41.4
Grayson VA,42.5
Greene VA,39.1
Greensville NC,
Halifax VA,38.4
Hanover VA,44.9
Henrico VA,41.3
Henry VA,36.6
Highland VA,
Isle of Wight VA,38.3
James City VA,39.3
King and Queen VA,
King George VA,41.1
King William VA,39.4
Lancaster VA,39.7
Lee VA,41.1
Loudoun DC,48.4
Louisa VA,40
Lunenburg VA,36.3
Madison VA,41
Mathews VA,45.9
Mecklenburg VA,38.8
Middlesex VA,43.7
Montgomery VA,40.2
Nelson VA,41.6
New Kent VA,44.3
Northampton VA,37.4
Northumberland VA,37.8
Nottoway VA,37.4
Orange VA,40.2
Page VA,42.7
Patrick VA,43.8
Pittsylvania NC,40.5
Powhatan VA,42.3
Prince Edward VA,36.4
Prince George VA,40.9
Prince William DC,42.8
Pulaski VA,35.3
Rappahannock DC,44.8
Richmond VA,40.6
Richmond VA,40.6
Roanoke VA,43.7
Roanoke VA,43.7
Rockbridge VA,44.8
Rockingham VA,44.6
Russell VA,46.7
Scott VA,43.3
Shenandoah VA,45.1
Smyth TN,39.8
Southampton VA,38.4
Spotsylvania VA,42.6
Stafford VA,44.2
Surry VA,40.7
Sussex VA,37.3
Tazewell VA,43.5
Warren DC,43.6
Westmoreland VA,39.3
Wise VA,43.2
Wythe VA,43
York VA,42.4
Alexandria City DC,43.7
Bedford City VA,40.2
Bristol City TN,37.7
Buena Vista City VA,41.5
Charlottesville City VA,34.5
Chesapeake City VA,39.4
Clifton Forge City VA,
Colonial Heights City VA,43.8
Covington City VA,41.1
Danville City NC,34.9
Emporia City NC,34.6
Fairfax City DC,53.3
Falls Church City DC,47.3
Franklin City VA,35.6
Fredericksburg City VA,37.7
Galax City VA,40
Hampton City VA,37.4
Harrisonburg City VA,42.4
Hopewell City VA,37.9
Lexington City VA,44.3
Lynchburg City VA,36.8
Manassas City DC,45
Manassas Park City DC,45.1
Martinsville City VA,35
Newport News City VA,36.3
Norfolk City VA,35
Norton City VA,
Petersburg City VA,33.7
Poquoson City VA,51
Portsmouth City VA,35.8
Radford VA,39.3
Richmond City VA,30.9
Roanoke City VA,35.1
Salem City VA,42.6
Staunton City VA,40.2
Suffolk City VA,36.1
Virginia Beach City VA,40.7
Waynesboro City VA,39.3
Williamsburg City VA,
Winchester City VA,39.5
Adams WA,47.7
Asotin WA,40.4
Benton WA,45.2
Chelan WA,45.5
Clallam WA,40.4
Clark WA,41.9
Columbia WA,
Cowlitz WA,40.4
Douglas WA,43.6
Ferry WA,40
Franklin WA,43.6
Garfield WA,
Grant WA,44.4
Grays Harbor WA,40.8
Island WA,45.3
Jefferson WA,44.1
King WA,43.8
Kitsap WA,42.7
Kittitas WA,46.5
Klickitat WA,40.6
Lewis WA,43.4
Lincoln WA,48.4
Mason WA,41.9
Okanogan WA,42
Pacific WA,42.5
Pend Oreille WA,44.5
Pierce WA,42
San Juan WA,39.1
Skagit WA,44.2
Skamania WA,40.2
Snohomish WA,44.2
Spokane WA,41.9
Stevens WA,43
Thurston WA,42.2
Wahkiakum WA,
Walla Walla WA,43.5
Whatcom WA,44.1
Whitman WA,50.4
Yakima WA,42.9
Barbour WV,46.3
Berkeley PA,39.4
Boone WV,44
Braxton WV,48.3
Brooke OH,43
Cabell KY,38.1
Calhoun WV,50.8
Clay WV,44.5
Doddridge WV,
Fayette WV,43.3
Gilmer WV,
Grant MD,41.3
Greenbrier WV,43
Hampshire VA,40.6
Hardy MD,42.6
Harrison WV,41.9
Jackson WV,40.8
Kanawha WV,40.4
Lewis WV,46.4
Lincoln WV,45.7
Logan WV,44.9
McDowell WV,42.4
Marion WV,45.1
Marshall WV,47
Mason OH,41.7
Mercer VA,40.5
Mineral MD,43.9
Mingo KY,44.9
Monongalia WV,43.2
Monroe VA,44.2
Morgan PA,42
Nicholas WV,45.9
Ohio WV,41.8
Pendleton VA,47.6
Pleasants WV,49.7
Pocahontas WV,45.3
Preston WV,47.3
Putnam WV,44.7
Raleigh WV,44.5
Randolph WV,42.8
Ritchie WV,43.2
Roane WV,45.1
Summers WV,39.9
Taylor WV,44.2
Tucker WV,
Tyler WV,50.8
Upshur WV,46.7
Webster WV,46.6
Wetzel WV,44.3
Wirt WV,43.8
Wood WV,39.1
Wyoming WV,47.3
Adams WI,39.4
Ashland WI,44.9
Barron WI,49.1
Bayfield WI,43.6
Brown WI,46.2
Buffalo WI,52.8
Burnett WI,45.5
Calumet WI,53.6
Chippewa WI,48.6
Clark WI,52.7
Columbia WI,47.5
Crawford WI,50.3
Dane WI,42.4
Dodge WI,50.1
Door WI,51.1
Dunn WI,48.6
Eau Claire WI,46.1
Florence MI,
Fond Du Lac WI,48.3
Forest WI,48.5
Grant WI,51.5
Green WI,48
Green Lake WI,50.9
Iowa WI,53
Jackson WI,46.1
Jefferson WI,46.5
Juneau WI,48.4
Kenosha WI,38.1
Kewaunee WI,49.6
La Crosse WI,45.3
Lafayette WI,54.3
Langlade WI,46
Lincoln WI,48
Manitowoc WI,48.2
Marathon WI,49.9
Marinette MI,46.5
Marquette WI,43.7
Menominee WI,
Milwaukee WI,36.1
Monroe WI,47
Oconto WI,47.2
Oneida WI,45.6
Outagamie WI,48.2
Ozaukee WI,49.7
Pepin WI,58.9
Pierce MN,53.8
Polk WI,47.4
Portage WI,48.1
Price WI,50.3
Racine WI,39.6
Richland WI,44.4
Rock WI,41.2
Rusk WI,46.6
St Croix MN,50.1
Sauk WI,46.3
Sawyer WI,42.1
Shawano WI,48.4
Sheboygan WI,46.3
Taylor WI,50.9
Trempealeau WI,50.9
Vernon WI,49.5
Vilas WI,44.3
Walworth WI,45.3
Washburn WI,46.1
Washington WI,49.6
Waukesha WI,47.8
Waupaca WI,49.1
Waushara WI,46.4
Winnebago WI,44.5
Wood WI,48.5
Albany WY,48.5
Campbell WY,54.7
Carbon WY,49.4
Converse WY,54.2
Crook WY,61.7
Fremont WY,46.4
Goshen WY,48.8
Hot Springs WY,
Johnson WY,56.3
Laramie WY,45.2
Lincoln WY,52.7
Natrona WY,49.5
Niobrara WY,
Park WY,52.4
Platte WY,54.1
Sheridan WY,50.9
Sublette WY,
Sweetwater WY,53.1
Uinta WY,50.3
Washakie WY,47.5
Weston WY,52.6
