Mean Parent Income,Mean Child Income
,
41000,33000
55500,37500
44800,35500
81400,42600
78000,42000
60400,41000
61400,42400
54600,45100
51600,37500
57700,39900
48900,41000
66200,47900
77700,47700
58400,47400
41300,33700
58900,50300
50300,37100
36900,31100
90700,45400
50500,46400
48900,44700
71000,50700
53200,49000
48800,41700
59200,45600
43500,36000
70000,46700
64100,39800
72800,46900
51100,40300
70500,52900
42200,49000
47100,41900
42400,37900
46200,38800
81700,45300
33500,27000
55600,40500
51400,48600
39800,39900
48500,42000
66000,45100
53800,41100
55100,43000
76300,46400
57600,45500
89900,50700
66800,40900
55100,60500
67100,49700
62500,46500
38400,29800
44700,26900
47200,39200
57800,32500
64500,39600
65700,46000
58800,41700
61600,39400
46100,44100
44100,37000
50700,50600
62900,49400
77100,51000
39000,30300
60400,55400
62400,44600
53600,45200
51000,42000
57700,42800
93500,50000
52400,39300
36600,34900
70200,50300
57700,40900
60000,52000
51500,41200
45400,35400
48700,42500
61300,43700
40400,46000
66900,44500
50600,42200
66500,45500
57500,44800
109300,50000
61600,46500
66100,42500
71800,46200
70200,45900
63300,47200
56500,41700
67500,43900
54900,41100
70600,42200
55800,41600
55000,37700
49200,35900
77700,48500
73100,46300
105600,56800
110400,55000
106700,55900
58800,41300
97400,60200
76400,49200
90400,55100
55800,41600
102900,59100
62200,44700
97200,57100
151500,68600
79600,48800
175400,70400
76200,44000
93100,53400
80100,58900
47900,34900
100500,47700
73800,49600
72400,42200
62200,43700
58800,31600
93100,54600
89100,48300
84600,52700
94100,45700
123100,58500
77600,49800
81300,48500
95900,56200
164700,67100
,
168400,68800
112300,58500
93900,41300
100900,56100
52300,41200
62200,46500
74900,46000
65400,42600
60700,39300
57600,44000
72100,42200
83700,47000
81000,48200
56400,40800
72800,43100
70700,44500
74500,41600
64700,41700
102600,45500
59000,40000
64000,43500
58000,40300
94100,54500
57500,34900
71400,48300
79100,51300
88200,49300
92600,44200
84700,41400
59700,44200
60500,49700
93800,48000
67700,44600
66600,42300
74200,50500
68700,53800
94100,47000
72200,46300
61300,40600
59400,48200
74000,46600
81400,44700
102700,49000
57600,37300
104400,49800
,
42900,33900
90500,49200
79600,47500
82100,46900
127000,56100
,
