County ID,Commuting Zone ID,Teenage Birth Rate,Mean Parent Income,Mean Child Income,Number of Children in Core Sample
6113,37400,0.107,84500,51500,5114
6115,37300,0.164,50100,42400,2157
8001,28900,0.195,71100,42900,12519
8003,34805,0.189,55600,42200,636
8005,28900,0.098,151700,57000,17040
8007,35300,0.142,60100,41700,416
8009,28501,,,,
8011,28502,,,,
8013,28900,0.085,136300,55400,9728
8015,28701,0.129,65800,48000,554
8017,28504,,,,
8019,28900,,,,
8021,34805,0.225,43900,43300,424
8023,34805,,,,
8025,28502,,,,
8027,28401,,,,
8029,35201,0.179,56200,52100,1064
8031,28900,0.217,85500,39200,14544
8033,35402,,,,
8035,28900,0.05,161100,61700,5478
8037,28702,0.12,158200,53900,956
8039,28900,0.102,90400,48400,788
8041,28401,0.143,89200,44900,19306
8043,28401,0.192,62100,44700,1449
8045,28702,0.132,84800,49800,1655
8047,28900,,,,
8049,28703,0.095,77100,44000,423
8051,35202,0.099,91500,48200,354
8053,35202,,,,
8055,28503,0.246,47200,41300,260
8057,28704,,,,
8059,28900,0.09,116800,55100,19314
8061,28504,,,,
8063,28504,0.128,59400,61500,330
8065,28702,0.224,62800,43500,250
8067,35300,0.102,79300,49800,1688
8069,28800,0.098,99800,52100,8610
8071,28503,0.219,45500,43100,587
8073,28402,,,,
8075,28301,0.189,69400,52500,814
8077,35201,0.162,76000,50100,4515
8079,34805,,,,
8081,36401,0.151,72000,52200,671
8083,35402,0.149,59400,45700,999
8085,35201,0.166,62700,44300,1366
8087,28800,0.209,57000,51200,1124
8089,28502,0.232,52700,42300,939
8091,35201,,,,
8093,28900,0.096,74600,49100,494
8095,28301,,,,
8097,28702,0.025,478400,57400,286
8099,28502,0.251,51100,46300,636
8101,28502,0.22,67100,40700,5172
8103,36401,0.129,81600,65900,372
8105,34805,0.237,59200,42600,575
8107,36401,0.066,101800,62500,677
8109,34805,0.26,42800,38100,260
8111,35300,,,,
8113,35201,,,,
8115,28302,,,,
8117,28702,0.045,122000,51600,515
8119,28401,0.136,85800,46800,959
8121,28301,,,,
8123,28800,0.195,75900,49100,6267
8125,28301,0.116,58800,58300,454
9001,20901,0.08,230700,68200,25344
9003,20901,0.109,115000,57000,26886
9005,20901,0.059,106400,57600,6347
9007,20901,0.065,109700,59700,4543
9009,20901,0.103,97100,55200,25357
9011,20901,0.106,96100,51900,8355
9013,20901,0.058,107800,61300,4323
9015,20901,0.113,77200,48300,4044
10001,19901,0.177,67100,43200,4738
10003,19800,0.145,104100,51800,17251
10005,19901,0.196,63100,39400,5337
11001,11304,0.208,92700,36900,13596
12001,7900,0.147,70000,41000,6953
12003,7600,0.291,53000,38300,981
12005,10000,0.177,57400,38600,5492
12007,7900,0.263,46100,35100,886
12009,7300,0.137,67400,42100,15098
12011,7000,0.126,86000,45100,43967
12013,9900,0.225,44800,36600,449
12015,6900,0.147,67000,40500,2935
12017,7800,0.157,51200,36300,2966
12019,7600,0.139,69800,42000,5875
12021,7200,0.167,91000,41400,4209
12023,7700,0.228,51300,35500,2071
12027,6900,0.273,45100,30400,859
12029,7900,0.273,35200,33700,443
12031,7600,0.197,68900,39000,28189
12033,10900,0.196,58700,37000,10316
12035,7500,0.155,54500,37500,1258
12037,10000,0.261,40500,28400,332
12039,9900,0.269,36900,26400,2174
12041,7900,0.226,41600,37000,483
12043,7100,,,,
12045,10000,0.221,45800,31700,450
12047,7700,0.267,40000,31400,465
12049,6800,0.287,47200,40200,1015
12051,7100,0.251,50900,33700,1277
12053,6700,0.144,52500,38300,3333
12055,6800,0.217,52800,35600,2291
12057,6700,0.174,73300,40700,32908
12059,9900,0.2,40000,36200,711
12061,7300,0.151,89700,41400,3179
12063,9900,0.208,46700,34100,1790
12065,9900,0.205,44200,30400,496
12067,7700,,,,
12069,7400,0.189,60800,35000,5741
12071,7200,0.172,76400,41000,11029
12073,9900,0.132,78000,41400,7509
12075,7900,0.212,39100,37500,1153
12077,9900,,,,
12079,7700,0.222,40800,30600,727
12081,6900,0.183,74200,38300,6844
12083,7800,0.206,53300,36800,7743
12085,7100,0.122,111400,43300,3172
12086,7000,0.144,72200,42200,62492
12087,7000,0.121,78400,43900,1976
12089,7600,0.178,66000,38400,2315
12091,10900,0.15,68800,42000,6568
12093,7100,0.268,50900,36300,1250
12095,7400,0.171,67200,38700,29422
12097,7400,0.164,51200,35600,5631
12099,7100,0.132,101400,45400,28903
12101,6700,0.16,52700,37600,8724
12103,6700,0.149,74200,41600,19014
12105,6800,0.225,57500,39000,16490
12107,7500,0.245,45100,33300,2503
12109,7600,0.137,92000,46100,3852
12111,7100,0.187,57300,35500,5767
12113,10900,0.153,66000,43400,4564
12115,6900,0.119,94100,46100,7786
12117,7400,0.113,87200,48300,11890
12119,7400,0.237,42600,32900,1248
12121,7700,0.21,43800,37700,1364
12123,7700,0.233,54000,36300,761
12125,7900,0.203,44000,33900,466
12127,7500,0.152,57900,38000,12674
12129,9900,0.185,47600,35700,925
12131,10900,0.212,44100,33600,1009
12133,9900,0.218,41100,36900,713
13001,9001,0.265,51200,38600,691
13003,8601,0.311,38500,29800,341
13005,8601,0.271,50900,33900,363
13007,10200,,,,
13009,9002,0.172,57900,33000,1534
13011,9400,0.254,56000,39200,400
13013,9301,0.192,62500,36400,1267
13015,6600,0.222,66000,38600,2745
13017,8501,0.268,53200,34700,833
13019,8503,0.195,49400,36800,574
13021,8900,0.213,72400,35200,6662
13023,8900,0.205,51900,35900,466
13025,8602,0.283,47500,34400,534
13027,8503,0.299,38800,28400,571
13029,8800,0.193,76700,43900,1249
13031,8702,0.179,58000,37100,1569
13033,8401,0.269,47400,36200,993
13035,9200,0.244,53900,33300,822
13037,10301,0.274,37900,29300,338
13039,7600,0.179,64300,38800,1693
13043,8702,0.27,48100,31900,330
13045,9600,0.214,65800,40700,3334
13047,6401,0.191,71100,43000,1411
13049,7600,0.226,56100,39700,364
13051,8800,0.221,70500,34800,8378
13053,9701,,,,
13055,6600,0.259,47800,36500,970
13057,9100,0.13,96500,47700,3943
13059,9301,0.174,78900,39100,2629
13061,10301,,,,
13063,9100,0.189,65000,35000,6946
13065,8601,0.281,47100,31100,280
13067,9100,0.101,123500,53600,17268
13069,8601,0.262,54000,33500,1571
13071,8503,0.262,51900,33900,1685
13073,8401,0.129,88700,47700,2260
13075,8503,0.218,44800,37200,601
13077,9600,0.169,75500,38800,3107
13079,8900,,,,
13081,8502,0.254,45100,28300,963
13083,6401,0.191,54900,40700,524
13085,9100,0.181,81000,37300,551
13087,10101,0.248,46500,33400,1163
13089,9100,0.17,81700,37100,20261
13091,9001,0.205,49500,37500,675
13093,8502,0.264,43000,30800,759
13095,10200,0.234,60100,31800,4376
13097,9100,0.148,75500,42900,3154
13099,10301,0.257,48900,29400,539
13101,8503,,,,
13103,8800,0.193,67300,44000,1398
13105,9302,0.217,46500,32600,846
13107,8702,0.245,39900,32300,1051
13109,8701,0.246,42900,31100,380
13111,6501,0.208,48700,34700,650
13113,9100,0.058,135700,57700,4051
13115,6600,0.198,67800,37800,3025
13117,9100,0.124,101800,52700,338
13119,9302,0.228,56800,36700,801
13121,9100,0.207,115800,38500,25307
13123,6501,0.21,50100,39000,645
13125,8401,,,,
13127,8602,0.217,73900,39000,2483
13129,6600,0.234,57100,38800,1707
13131,10102,0.215,45600,33200,868
13133,8402,0.232,43600,26800,599
13135,9100,0.115,95900,48300,6249
13137,9400,0.208,60600,41200,1171
13139,9400,0.196,83600,42300,4328
13141,9002,0.246,37400,24900,386
13143,9600,0.24,53600,40300,918
13145,9701,0.172,64700,39800,792
13147,9302,0.216,51300,36600,561
13149,9600,0.263,47300,30900,374
13151,9100,0.153,80900,44400,3964
13153,8900,0.155,75300,43000,4387
13155,8501,0.275,46900,36100,374
13157,9400,0.194,59700,36900,1524
13159,9100,0.253,52500,33900,383
13161,9001,0.309,50600,36100,544
13163,8401,0.242,40700,29600,886
13165,8702,0.249,43200,28800,361
13167,9003,0.263,40400,30400,337
13169,8900,0.177,63000,38300,609
13171,9200,0.207,50300,33200,570
13173,8503,,,,
13175,9003,0.197,58900,33800,1927
13177,10200,0.185,68800,40800,1028
13179,8701,0.224,52200,33500,2347
13181,8402,0.196,52000,32400,308
13183,8701,,,,
13185,8503,0.214,63900,38600,3465
13187,9400,0.152,57400,37800,552
13189,8401,0.248,56600,41900,957
13191,8602,0.33,38000,29800,358
13193,9702,0.261,39600,27200,314
13195,9301,0.212,55500,35600,963
13197,9702,,,,
13199,9701,0.252,45900,28500,861
13201,10101,0.201,45500,32700,264
13205,10200,0.24,39400,28900,1028
13207,8900,0.207,61800,33900,762
13209,9001,0.285,38400,29700,273
13211,9100,0.214,62200,34100,605
13213,6600,0.24,54600,33000,1264
13215,9701,0.206,65000,34400,7705
13217,9100,0.224,52600,28300,334
13219,9301,0.09,90700,47200,1050
13221,9301,0.211,51200,36600,263
13223,9100,0.187,73900,39400,1908
13225,8900,0.224,55300,32600,1126
13227,9100,0.196,64100,38600,695
13229,8601,0.237,49300,37500,677
13231,9200,0.201,74600,39200,567
13233,6600,0.258,49700,33700,1521
13235,8900,0.201,50400,30500,413
13237,9002,0.187,54000,31500,606
13239,10301,,,,
13241,1201,0.189,59300,35300,446
13243,10301,0.234,36500,27500,378
13245,8401,0.195,65900,36400,9980
13247,9100,0.178,70900,38000,471
13249,9702,,,,
13251,8702,0.231,46100,32200,641
13253,10101,0.234,51800,35400,379
13255,9200,0.258,55700,36800,2277
13257,9302,0.202,56500,38100,1008
13259,9702,,,,
13261,9702,0.22,54500,30300,1372
13263,9701,0.227,39100,30900,252
13265,8402,,,,
13267,8701,0.251,45800,31500,804
13269,8900,0.232,42200,30600,416
13271,9001,0.222,40000,28700,553
13273,10200,0.283,38500,28600,495
13275,10102,0.225,58900,33200,2004
13277,8503,0.227,53800,35500,1636
13279,9001,0.23,57700,38100,1101
13281,1204,,,,
13283,9001,0.264,41400,32200,253
13285,9600,0.232,70300,36000,2485
13287,8503,0.241,36200,28000,454
13289,8900,0.268,44300,26800,388
13291,1204,0.154,56100,38700,511
13293,9200,0.237,50500,34600,981
13295,6401,0.22,57900,36700,2516
13297,9100,0.223,63700,34600,1085
13299,8601,0.233,48500,35400,1443
13301,8401,0.25,33900,24800,258
13303,9003,0.217,51400,34700,914
13305,8701,0.246,53600,37700,996
13307,9702,,,,
13309,9001,,,,
13311,9400,0.188,53700,43600,591
13313,6600,0.234,92000,38900,3067
13315,8502,0.235,46500,36900,326
13317,8402,0.185,48400,32500,497
13319,9002,0.237,51800,31000,529
13321,10200,0.221,50000,35500,839
15001,35600,0.146,63600,38500,5567
15003,34701,0.114,84300,48200,27530
15005,34703,,,,
15007,34702,0.133,63800,44000,2279
15009,34703,0.131,71400,42600,4248
16001,35801,0.116,101500,48100,11628
16003,35803,,,,
16005,36301,0.14,74300,44000,3622
16007,36403,0.11,61100,51100,392
16009,38601,0.168,54700,42700,457
16011,36301,0.158,66000,44800,2594
16013,35701,0.085,122400,54400,626
16015,35801,,,,
16017,38601,0.136,61800,44900,1563
16019,36301,0.13,87800,48400,4480
16021,34501,0.143,52100,41300,458
16023,36301,,,,
16025,35701,,,,
16027,35801,0.203,65300,40000,5098
16029,36403,0.13,71300,51600,472
16031,35702,0.174,68600,47700,1188
16033,36301,,,,
16035,38401,0.16,57600,45000,399
16037,36302,,,,
16039,35801,0.175,59700,42800,1008
16041,36200,0.122,62000,49100,683
16043,36301,0.165,54000,46700,664
16045,35801,0.131,57500,42600,717
16047,35701,0.189,57300,41600,658
16049,38401,0.14,52200,44800,660
16051,36301,0.131,64300,48900,1276
16053,35701,0.194,62000,43400,855
16055,38601,0.143,71800,46300,4293
16057,38402,0.079,71000,48100,1144
16059,36302,0.161,52600,42600,348
16061,38401,0.154,50400,45100,275
16063,35701,,,,
16065,36301,0.102,76000,55600,1244
16067,35702,0.204,56500,49900,1195
16069,38401,0.155,75100,48600,1450
16071,36200,,,,
16073,35801,0.249,47800,40200,421
16075,35802,0.192,56100,58700,888
16077,36301,0.148,65500,47900,368
16079,38601,0.179,48700,42700,583
16081,36303,0.11,58300,48100,272
16083,35701,0.178,67500,44800,2905
16085,35803,0.128,73200,43000,433
16087,35802,0.158,51700,45500,478
17001,25000,0.131,74900,50300,2757
17003,25601,0.286,41900,31600,376
17005,24900,0.126,68500,48900,661
17007,24400,0.124,95200,48100,1639
17009,24801,,,,
17011,23900,0.115,71900,52800,1578
17013,24900,,,,
17015,24400,0.118,74100,51600,709
17017,24801,0.177,61600,50500,596
17019,23500,0.133,92100,52400,5423
17021,24802,0.164,67500,51000,1344
17023,23301,0.131,61300,51100,720
17025,23302,0.194,54900,42900,610
17027,25500,0.099,79200,60400,1353
17029,23301,0.154,74400,46400,1702
17031,24300,0.174,92500,46700,171657
17033,23302,0.156,65000,48700,815
17035,23301,0.122,61500,49200,421
17037,24400,0.107,90600,54000,3129
17039,23400,0.15,74000,50400,705
17041,23500,0.135,69800,51500,1024
17043,24300,0.049,164500,69600,32970
17045,23301,0.153,62100,50200,800
17047,14801,0.128,61200,51900,253
17049,23302,0.119,86900,56500,1767
17051,23302,0.214,57500,46800,823
17053,23500,0.133,63300,56200,559
17055,25601,0.195,54100,46300,1502
17057,23700,0.157,63200,45900,1534
17059,25602,0.13,51600,50300,270
17061,24801,0.135,56000,50200,656
17063,24300,0.089,97200,59200,1850
17065,25500,0.174,55400,55600,364
17067,23600,0.113,62800,54600,950
17069,25602,,,,
17071,23600,0.169,60000,54400,337
17073,23801,0.113,75800,55500,2306
17075,24200,0.142,67700,54000,1414
17077,25601,0.153,70200,43400,1830
17079,23302,0.113,61600,54100,478
17081,25500,0.173,71600,45300,1481
17083,24900,0.13,69100,49400,1142
17085,23200,0.103,73000,53300,956
17087,25601,0.155,57500,45900,415
17089,24300,0.13,118700,54200,14834
17091,24200,0.173,74600,47400,4203
17093,24300,0.094,104800,58800,2381
17095,23700,0.142,87100,47900,2087
17097,24300,0.093,193100,65100,24171
17099,23900,0.14,79500,53600,4542
17101,14802,0.188,57200,49300,607
17103,24400,0.125,76300,53800,1463
17105,23400,0.123,77700,57700,1563
17107,24802,0.147,68500,50000,1259
17109,23700,0.115,70300,51600,1000
17111,24300,0.068,117500,59000,10339
17113,23400,0.111,102600,56600,5094
17115,23500,0.197,81100,47300,4635
17117,24900,0.139,66100,47800,1877
17119,24900,0.143,86500,49500,10243
17121,25500,0.187,66800,44300,2073
17123,23900,0.115,71600,52900,594
17125,23900,0.153,66200,48500,742
17127,25401,0.203,64700,43900,595
17129,24802,0.132,81000,50700,573
17131,23801,0.115,68900,53600,827
17133,24701,0.076,95100,61700,1180
17135,24900,0.183,65800,53500,1311
17137,24801,0.144,75200,48300,1455
17139,23500,0.149,74600,51500,572
17141,24400,0.125,79900,54200,2201
17143,23900,0.182,94500,49600,7026
17145,25601,0.145,58200,49000,832
17147,23500,0.126,83900,57100,698
17149,25000,0.166,57000,49800,729
17151,25401,,,,
17153,25601,0.249,46000,33400,345
17155,23900,0.103,93300,58800,260
17157,25601,0.135,71100,57700,1445
17159,14801,0.159,65400,49400,703
17161,23801,0.17,81700,49500,6019
17163,24701,0.196,76700,44100,10849
17165,25602,0.193,60900,47400,1018
17167,24802,0.154,101000,49900,7485
17169,24801,0.138,54400,47600,286
17171,24801,,,,
17173,23500,0.152,64500,53400,929
17175,23801,0.126,74000,55000,423
17177,24400,0.155,79600,49800,2156
17179,23900,0.131,87500,54600,5479
17181,25601,0.169,61000,46600,653
